id,key,value,type
10385323,county,"Douglas, CO",tiger
10385323,reviewed,no,tiger
10385323,name_base,Braewood,tiger
10385323,name_type,Ave,tiger
10385323,name_direction_prefix,W,tiger
10385541,name,East Kistler Court,regular
10385541,highway,residential,regular
10385541,cfcc,A41,tiger
10385541,county,"Douglas, CO",tiger
10385541,reviewed,no,tiger
10385541,name_base,Kistler,tiger
10385541,name_type,Ct,tiger
10385541,name_direction_prefix,E,tiger
10385778,highway,residential,regular
10385778,name,Gysum Court,regular
10385778,cfcc,A41,tiger
10385778,county,"Douglas, CO",tiger
10385778,name_base,Gysum,tiger
10385778,name_type,Ct,tiger
10385778,reviewed,no,tiger
10385914,name,East Derby Way,regular
10385914,highway,residential,regular
10385914,cfcc,A41,tiger
10385914,county,"Douglas, CO",tiger
10385914,reviewed,no,tiger
10385914,name_base,Derby,tiger
10385914,name_type,Way,tiger
10385914,name_direction_prefix,E,tiger
10386093,name,Conestoga Place,regular
10386093,highway,residential,regular
10386093,cfcc,A41,tiger
10386093,county,"Douglas, CO",tiger
10386093,reviewed,no,tiger
10386093,name_base,Conestoga,tiger
10386093,name_type,Pl,tiger
10386267,name,Cherokee Drive,regular
10386267,lanes,2,regular
10386267,oneway,no,regular
10386267,source,bing,regular
10386267,highway,proposed,regular
10386267,surface,concrete,regular
10386462,name,South Butte Circle,regular
10386462,highway,residential,regular
10386462,surface,unpaved,regular
10386462,cfcc,A41,tiger
10386462,county,"Douglas, CO",tiger
10386462,reviewed,no,tiger
10386462,name_base,Butte,tiger
10386462,name_type,Cir,tiger
10386462,name_direction_prefix,S,tiger
10386701,name,Sequoia Court,regular
10386701,highway,residential,regular
10386701,cfcc,A41,tiger
10386701,county,"Douglas, CO",tiger
10386701,name_base,Sequoia,tiger
10386701,name_type,Ct,tiger
10386829,name,Fairview Oaks Way,regular
10386829,highway,residential,regular
10386829,county,"Douglas, CO",tiger
10386829,name_base,Fairview Oaks,tiger
10386829,name_type,Way,tiger
10387044,name,East Lincoln Avenue,regular
10387044,oneway,yes,regular
10387044,highway,primary,regular
10387044,cfcc,A41,tiger
10387044,county,"Douglas, CO",tiger
10387044,reviewed,yes,tiger
10387044,name_base,Lincoln,tiger
10387044,name_type,Ave,tiger
10387044,name_direction_prefix,E,tiger
10387217,name,South Cambridge Court,regular
10387217,source,bing,regular
10387217,highway,residential,regular
10387217,cfcc,A41,tiger
10387217,county,"Douglas, CO",tiger
10387217,name_base,Cambridge,tiger
10387217,name_type,Ct,tiger
10387217,name_direction_prefix,S,tiger
10387412,name,West Pine Creek Road,regular
10387412,highway,tertiary,regular
10387412,surface,compacted,regular
10387412,cfcc,A41,tiger
10387412,county,"Douglas, CO",tiger
10387412,reviewed,no,tiger
10387412,name_base,Pine Creek,tiger
10387412,name_type,Rd,tiger
10387412,name_direction_prefix,W,tiger
10387607,name,Antelope Lane,regular
10387607,highway,residential,regular
10387607,surface,unpaved,regular
10387607,cfcc,A41,tiger
10387607,county,"Douglas, CO",tiger
10387607,reviewed,no,tiger
10387607,name_base,Antelope,tiger
10387607,name_type,Ln,tiger
10387784,highway,tertiary,regular
10387784,lanes,2,regular
10387784,name,South Oman Road,regular
10387784,oneway,no,regular
10387784,source,bing,regular
10387784,surface,asphalt,regular
10387784,cfcc,A41,tiger
10387784,county,"Douglas, CO",tiger
10387784,name_base,Oman,tiger
10387784,name_direction_prefix,S,tiger
10387784,name_type,Rd,tiger
10387784,reviewed,no,tiger
10387983,name,West Rainbow Creek Road,regular
10387983,highway,residential,regular
10387983,cfcc,A41,tiger
10387983,county,"Douglas, CO",tiger
10387983,reviewed,no,tiger
10387983,name_base,Rainbow Creek,tiger
10387983,name_type,Rd,tiger
10387983,name_direction_prefix,W,tiger
10388138,name,Random Valley Circle,regular
10388138,highway,residential,regular
10388138,cfcc,A41,tiger
10388138,county,"Douglas, CO",tiger
10388138,reviewed,no,tiger
10388138,name_base,Random Valley,tiger
10388138,name_type,Cir,tiger
10388299,name,Castle Butte Drive,regular
10388299,highway,residential,regular
10388299,cfcc,A41,tiger
10388299,county,"Douglas, CO",tiger
10388299,reviewed,no,tiger
10388299,name_base,Castle Butte,tiger
10388299,name_type,Dr,tiger
10388471,name,South Spring Hill Place,regular
10388471,name_1,Spring Hill Place,regular
10388471,highway,residential,regular
10388471,cfcc,A41,tiger
10388471,county,"Douglas, CO",tiger
10388471,reviewed,no,tiger
10388471,name_base,Spring Hill,tiger
10388471,name_type,Pl,tiger
10388471,name_base_1,Spring Hill,tiger
10388471,name_type_1,Pl,tiger
10388471,name_direction_prefix,S,tiger
10388674,name,Hyland Drive,regular
10388674,highway,residential,regular
10388674,cfcc,A41,tiger
10388674,county,"Douglas, CO",tiger
10388674,reviewed,no,tiger
10388674,name_base,Hyland,tiger
10388674,name_type,Dr,tiger
10388870,name,North Chatfield Place,regular
10388870,highway,residential,regular
10388870,cfcc,A41,tiger
10388870,county,"Douglas, CO",tiger
10388870,reviewed,no,tiger
10388870,name_base,Chafield,tiger
10388870,name_type,Pl,tiger
10388870,name_direction_prefix,N,tiger
10389075,name,Mackenzie Court,regular
10389075,highway,residential,regular
10389075,cfcc,A41,tiger
10389075,county,"Douglas, CO",tiger
10389075,reviewed,no,tiger
10389075,name_base,Mackenzie,tiger
10389075,name_type,Ct,tiger
10389229,name,Chelmsford Terrace,regular
10389229,highway,residential,regular
10389229,cfcc,A41,tiger
10389229,county,"Douglas, CO",tiger
